Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_A,26.94,20.17,68.4,58925,71%,33.06,14.44,11.43,83%,80%,64%,66%,93%,88%,99%,60%,65%,88%,60%,68%,77%,61%,76%,89%,94%,96%,98%,65%,97%,76%,87%
Field_A,20.16,26.44,53.17,92475,62%,31.25,16.59,10.49,97%,65%,84%,63%,87%,96%,86%,79%,81%,73%,97%,89%,65%,90%,100%,88%,66%,61%,76%,68%,85%,93%,65%
Field_A,33.15,26.38,48.68,52756,63%,15.81,14.03,27.84,95%,78%,65%,88%,84%,83%,93%,80%,80%,60%,64%,87%,96%,93%,98%,85%,61%,62%,86%,91%,91%,66%,85%
Field_A,14.32,34.43,55.34,97699,80%,16.05,8.88,33.28,87%,86%,91%,81%,60%,62%,86%,78%,75%,92%,85%,82%,88%,95%,79%,93%,91%,78%,64%,65%,79%,91%,75%
Field_A,10.13,29.56,44.9,26247,74%,27.01,9.17,32.99,75%,77%,74%,75%,62%,75%,64%,74%,61%,98%,89%,63%,77%,85%,75%,90%,81%,97%,61%,90%,78%,83%,83%
Field_C,34.41,32.84,49.09,42258,64%,46.54,6.52,24.69,83%,80%,73%,89%,94%,94%,91%,86%,97%,82%,74%,90%,93%,76%,80%,66%,69%,61%,89%,97%,82%,63%,97%
Field_E,17.37,26.65,41.01,43631,72%,45.68,23.79,32.66,62%,76%,70%,97%,93%,73%,73%,90%,92%,75%,89%,90%,79%,63%,70%,67%,88%,83%,98%,74%,96%,75%,79%
Field_B,31.08,28.94,56.49,29319,76%,23.17,12.41,15.06,71%,91%,79%,83%,60%,90%,96%,74%,69%,83%,99%,93%,89%,62%,93%,83%,89%,92%,100%,88%,90%,97%,78%
Field_E,12.37,21.5,40.58,46570,75%,44.95,18.16,19.74,77%,97%,67%,89%,74%,81%,80%,75%,93%,98%,89%,69%,72%,92%,72%,62%,70%,65%,92%,88%,67%,81%,74%
Field_E,25.71,28.1,57.03,73518,84%,15.89,14.15,23.75,60%,89%,69%,74%,63%,97%,75%,89%,65%,100%,64%,93%,100%,88%,74%,69%,91%,69%,77%,66%,92%,69%,99%
Field_B,12.01,20.19,35.9,39961,72%,49.0,8.45,27.57,80%,94%,67%,87%,90%,92%,78%,75%,85%,83%,60%,94%,91%,74%,79%,65%,77%,91%,83%,89%,62%,64%,63%
Field_D,28.16,23.44,44.07,54917,78%,11.88,22.87,13.38,62%,92%,64%,69%,80%,74%,74%,99%,83%,90%,63%,65%,65%,77%,93%,62%,95%,83%,60%,91%,71%,100%,83%
Field_E,14.23,30.31,35.92,17137,64%,24.05,19.6,11.35,67%,73%,63%,74%,88%,77%,82%,75%,73%,88%,76%,61%,74%,84%,64%,100%,82%,74%,82%,77%,97%,77%,93%
Field_E,25.06,25.12,40.13,37222,86%,47.44,15.19,30.44,96%,61%,91%,97%,95%,80%,84%,71%,68%,81%,64%,62%,61%,74%,68%,87%,84%,68%,78%,65%,98%,95%,80%
Field_C,24.13,32.02,58.21,81101,95%,36.92,11.26,29.72,89%,75%,78%,80%,70%,79%,76%,96%,81%,70%,86%,98%,96%,85%,73%,77%,61%,79%,77%,84%,97%,100%,86%
Field_C,11.3,32.37,36.01,97354,90%,38.6,12.42,25.35,66%,95%,71%,85%,71%,68%,86%,90%,90%,73%,70%,65%,70%,93%,97%,78%,69%,70%,99%,79%,88%,98%,62%
Field_B,18.29,26.67,43.51,43883,66%,48.56,21.58,22.78,72%,91%,90%,74%,77%,98%,100%,88%,85%,76%,75%,79%,99%,75%,66%,63%,86%,73%,63%,78%,87%,77%,95%
Field_B,10.81,33.45,53.34,44096,63%,31.93,10.02,18.47,80%,81%,100%,99%,84%,76%,73%,74%,96%,66%,74%,64%,65%,63%,92%,73%,84%,62%,96%,64%,62%,100%,70%
Field_A,27.89,30.99,38.5,13211,65%,48.17,14.28,20.08,66%,79%,98%,79%,74%,68%,89%,84%,100%,68%,92%,91%,76%,89%,78%,85%,65%,88%,86%,92%,91%,83%,63%
Field_A,32.0,29.02,54.44,60593,93%,30.13,6.24,27.94,93%,74%,71%,68%,86%,75%,67%,73%,88%,67%,64%,90%,80%,86%,95%,94%,66%,60%,96%,60%,62%,62%,80%
Field_E,14.97,26.76,34.3,64868,96%,43.12,16.47,12.22,66%,90%,68%,89%,100%,77%,85%,71%,80%,96%,62%,87%,92%,70%,65%,78%,66%,82%,92%,89%,63%,75%,99%
Field_C,27.33,30.56,57.94,74188,77%,12.31,18.03,18.17,60%,65%,61%,78%,92%,96%,78%,95%,85%,90%,91%,67%,94%,77%,63%,75%,85%,66%,75%,92%,61%,67%,76%
Field_A,15.17,24.69,44.91,84314,74%,29.39,9.42,16.04,91%,63%,86%,77%,83%,76%,76%,87%,72%,100%,68%,62%,71%,68%,94%,74%,64%,98%,76%,83%,99%,95%,84%
Field_A,34.37,29.73,62.07,13250,81%,44.71,17.18,36.07,88%,83%,65%,78%,67%,69%,92%,60%,84%,94%,97%,60%,65%,74%,71%,60%,69%,74%,68%,94%,68%,100%,80%
Field_C,38.69,31.9,40.48,77937,88%,15.68,9.09,36.63,60%,80%,89%,98%,85%,73%,83%,79%,82%,95%,68%,96%,83%,81%,82%,78%,96%,94%,84%,79%,65%,88%,75%
Field_D,24.12,24.74,48.5,68139,86%,20.13,7.04,21.34,85%,84%,94%,71%,86%,84%,68%,91%,83%,67%,83%,66%,73%,92%,99%,96%,75%,90%,100%,89%,71%,65%,86%
Field_B,36.85,33.6,50.74,99473,68%,20.09,20.67,23.43,60%,61%,67%,81%,66%,76%,90%,100%,63%,92%,91%,65%,86%,77%,93%,66%,60%,76%,79%,66%,82%,61%,78%
Field_A,15.64,33.77,63.69,58029,100%,38.28,17.99,16.13,79%,76%,90%,94%,66%,91%,67%,78%,78%,96%,76%,63%,89%,87%,96%,74%,100%,76%,80%,74%,64%,75%,97%
Field_B,23.32,30.76,65.61,95154,84%,40.92,18.74,25.79,69%,75%,93%,74%,62%,80%,85%,98%,79%,71%,60%,87%,100%,91%,77%,100%,67%,93%,66%,73%,80%,86%,77%
Field_A,17.14,25.04,39.66,36780,60%,12.23,15.21,37.61,82%,66%,66%,92%,65%,79%,88%,80%,91%,95%,62%,68%,91%,82%,93%,93%,77%,88%,86%,97%,84%,74%,60%
Field_C,38.15,29.52,47.72,41961,94%,18.88,13.83,12.1,93%,81%,71%,87%,71%,90%,63%,85%,62%,69%,74%,81%,82%,78%,78%,78%,72%,98%,62%,99%,67%,60%,79%
Field_C,21.53,24.01,69.95,10944,99%,18.86,6.58,13.95,65%,65%,83%,93%,94%,76%,60%,84%,93%,89%,90%,80%,66%,74%,74%,96%,93%,76%,75%,84%,65%,67%,74%
Field_C,11.92,21.9,63.28,71962,69%,46.68,24.33,25.52,97%,97%,72%,78%,82%,67%,71%,73%,74%,79%,97%,60%,73%,79%,76%,80%,66%,69%,100%,73%,97%,92%,91%
Field_C,13.12,30.85,43.65,35598,83%,13.97,17.34,21.03,85%,67%,89%,95%,88%,91%,80%,94%,64%,68%,86%,87%,68%,79%,67%,84%,96%,91%,86%,98%,100%,85%,65%
Field_E,22.63,22.97,60.15,11035,80%,48.27,7.39,38.8,81%,91%,60%,83%,77%,70%,96%,99%,68%,81%,65%,93%,89%,81%,87%,71%,69%,88%,87%,75%,82%,62%,71%
Field_D,13.55,34.06,67.37,53450,95%,48.28,10.89,15.63,87%,94%,86%,83%,76%,77%,94%,88%,93%,85%,95%,80%,95%,75%,100%,85%,78%,75%,64%,85%,70%,81%,78%
Field_C,19.32,29.11,67.56,59503,94%,31.22,17.04,36.9,61%,86%,63%,71%,98%,61%,77%,82%,93%,92%,86%,73%,92%,84%,94%,62%,89%,66%,64%,89%,76%,60%,81%
Field_D,12.18,20.05,49.12,85576,79%,17.47,13.11,28.76,85%,62%,69%,72%,89%,94%,95%,88%,79%,62%,63%,72%,97%,67%,95%,75%,100%,96%,60%,99%,100%,95%,67%
Field_C,13.67,24.58,46.2,19148,62%,27.74,9.97,12.33,60%,93%,88%,62%,69%,65%,100%,86%,62%,67%,99%,77%,84%,84%,81%,100%,61%,90%,67%,97%,62%,64%,64%
Field_C,22.93,20.06,43.23,63612,71%,42.28,11.05,26.65,97%,80%,100%,95%,84%,77%,95%,97%,95%,98%,86%,91%,93%,72%,73%,73%,70%,68%,87%,94%,73%,84%,80%
Field_B,39.73,31.67,47.02,14627,71%,35.16,11.68,25.1,91%,74%,97%,90%,73%,81%,99%,97%,91%,70%,78%,71%,99%,78%,74%,99%,73%,72%,74%,92%,91%,66%,63%
Field_B,22.77,20.76,55.77,61696,81%,41.81,20.6,20.23,89%,92%,86%,83%,73%,82%,90%,62%,72%,81%,100%,75%,69%,62%,75%,81%,68%,75%,67%,82%,95%,83%,96%
Field_A,37.31,20.93,34.8,61724,68%,47.5,24.73,28.8,60%,80%,92%,92%,97%,88%,62%,97%,68%,95%,65%,84%,65%,83%,90%,60%,64%,87%,82%,70%,77%,89%,80%
Field_C,30.84,30.52,61.46,65018,84%,42.6,14.43,17.41,65%,63%,91%,72%,96%,82%,82%,99%,79%,77%,93%,70%,90%,98%,62%,73%,73%,75%,96%,91%,97%,87%,74%
Field_D,18.54,26.97,68.78,18799,95%,39.86,13.57,33.8,70%,68%,89%,64%,100%,61%,62%,73%,76%,80%,89%,95%,68%,85%,97%,60%,71%,65%,100%,60%,61%,87%,89%
Field_D,23.01,20.51,34.48,43366,79%,19.95,23.57,27.94,74%,69%,87%,76%,87%,76%,85%,80%,70%,76%,79%,97%,88%,71%,71%,84%,82%,84%,60%,83%,71%,61%,60%
Field_B,11.02,33.08,51.68,29284,71%,20.98,13.28,30.19,84%,70%,64%,95%,94%,97%,68%,68%,92%,71%,66%,99%,94%,82%,73%,60%,92%,74%,92%,98%,64%,72%,90%
Field_E,22.48,22.15,50.9,85713,96%,29.54,12.66,38.73,70%,84%,98%,79%,74%,79%,96%,61%,80%,76%,60%,73%,81%,67%,89%,64%,62%,85%,83%,70%,94%,92%,85%
Field_C,17.5,29.94,66.8,19879,98%,39.0,23.51,28.51,61%,87%,63%,82%,87%,94%,68%,76%,69%,89%,88%,84%,94%,83%,93%,70%,92%,62%,70%,100%,62%,72%,83%
Field_B,31.97,30.65,65.33,81635,85%,39.81,6.02,15.59,92%,66%,67%,70%,65%,84%,78%,92%,89%,76%,72%,74%,89%,61%,60%,91%,86%,79%,89%,66%,87%,69%,75%
Field_B,22.06,31.59,64.19,43689,70%,47.0,9.66,39.01,82%,71%,60%,61%,89%,93%,64%,96%,96%,87%,82%,79%,92%,87%,84%,91%,82%,75%,78%,60%,75%,83%,100%
Field_B,19.03,21.48,49.42,53870,69%,13.29,9.59,31.64,72%,73%,74%,70%,60%,64%,81%,90%,82%,64%,79%,72%,85%,62%,64%,91%,98%,77%,82%,69%,74%,96%,98%
Field_B,20.04,23.05,41.13,42805,82%,10.86,23.36,10.24,61%,61%,86%,75%,63%,84%,81%,97%,65%,96%,97%,64%,99%,77%,74%,90%,94%,78%,99%,99%,76%,94%,88%
Field_C,18.42,28.1,38.04,38756,88%,44.39,11.41,24.48,92%,98%,78%,64%,77%,85%,99%,62%,77%,86%,74%,62%,79%,89%,65%,72%,76%,73%,98%,81%,95%,73%,84%
Field_B,18.99,29.53,57.51,88614,77%,33.52,6.1,11.33,98%,78%,61%,67%,61%,79%,99%,96%,86%,93%,62%,71%,75%,78%,80%,94%,96%,80%,72%,90%,61%,60%,80%
Field_E,19.29,27.68,68.11,24283,60%,42.11,18.45,16.84,64%,69%,60%,66%,96%,72%,72%,96%,73%,64%,78%,92%,84%,98%,82%,60%,100%,69%,100%,96%,71%,98%,60%
Field_B,25.88,33.46,68.8,33376,84%,42.19,21.02,36.47,67%,70%,88%,92%,74%,97%,84%,92%,97%,62%,91%,70%,74%,81%,86%,84%,100%,100%,91%,98%,62%,86%,83%
Field_C,34.73,34.87,35.92,74187,65%,39.43,16.46,30.01,69%,89%,85%,100%,95%,97%,67%,81%,67%,82%,60%,73%,84%,76%,88%,99%,98%,96%,91%,84%,90%,70%,99%
Field_D,10.85,26.66,63.48,47986,64%,34.87,18.6,25.07,66%,97%,91%,66%,90%,63%,97%,88%,80%,67%,92%,97%,67%,94%,99%,86%,64%,94%,89%,71%,78%,86%,85%
Field_D,11.69,25.4,62.96,66993,71%,43.9,12.94,29.44,90%,93%,69%,76%,89%,64%,61%,81%,87%,74%,70%,92%,65%,80%,86%,64%,91%,77%,81%,67%,87%,84%,79%
Field_E,14.81,29.89,44.91,59134,85%,38.86,18.21,14.22,65%,73%,90%,64%,100%,95%,98%,77%,100%,84%,67%,71%,77%,81%,93%,76%,85%,68%,94%,65%,97%,78%,75%
Field_D,26.81,27.66,35.26,88006,92%,36.3,5.18,25.47,79%,77%,64%,97%,86%,77%,73%,88%,99%,92%,78%,93%,95%,85%,100%,97%,88%,70%,92%,81%,95%,67%,100%
Field_E,35.13,23.07,33.56,19604,64%,20.4,13.48,31.38,76%,68%,70%,77%,69%,87%,69%,96%,92%,92%,60%,73%,63%,82%,62%,83%,88%,70%,98%,62%,86%,79%,66%
Field_A,26.62,20.32,43.84,14897,86%,15.27,22.21,14.88,61%,93%,66%,99%,99%,76%,72%,65%,84%,60%,74%,95%,97%,85%,72%,82%,97%,74%,64%,73%,63%,93%,64%
Field_C,13.96,30.23,30.98,36253,75%,33.16,8.99,27.36,70%,75%,93%,61%,71%,73%,60%,98%,91%,68%,81%,85%,84%,81%,85%,86%,70%,99%,64%,82%,89%,61%,93%
Field_C,23.77,31.32,44.9,89527,99%,31.08,15.89,18.22,65%,79%,60%,67%,60%,62%,75%,66%,96%,62%,99%,76%,90%,78%,72%,100%,70%,69%,93%,68%,71%,91%,97%
Field_B,31.26,33.96,52.84,33419,94%,13.06,24.91,29.94,83%,79%,74%,86%,67%,69%,74%,88%,76%,96%,84%,86%,93%,60%,95%,73%,74%,78%,60%,76%,98%,72%,89%
Field_E,34.67,30.11,57.83,73542,70%,33.42,11.02,16.04,100%,76%,87%,94%,83%,66%,67%,97%,67%,91%,70%,71%,82%,60%,77%,65%,86%,70%,78%,99%,71%,93%,88%
Field_D,11.88,27.83,59.04,21860,69%,45.4,8.64,10.4,81%,97%,94%,93%,62%,96%,67%,77%,77%,80%,71%,71%,73%,94%,92%,67%,79%,75%,97%,74%,91%,62%,62%
Field_C,31.16,22.32,41.06,74855,63%,47.93,14.42,25.96,60%,100%,74%,80%,79%,60%,82%,70%,60%,72%,69%,86%,83%,63%,96%,71%,93%,71%,74%,83%,99%,81%,62%
Field_E,13.72,31.18,54.07,14504,85%,45.15,8.29,13.73,65%,78%,84%,84%,79%,68%,61%,94%,92%,79%,87%,90%,90%,80%,82%,69%,93%,75%,61%,60%,69%,60%,84%
Field_B,10.21,28.12,44.6,98247,68%,10.32,8.16,14.17,65%,69%,81%,70%,68%,89%,88%,63%,61%,74%,93%,61%,94%,65%,94%,63%,65%,97%,76%,87%,65%,65%,60%
Field_A,28.26,32.99,65.71,23269,88%,47.02,8.77,38.53,82%,88%,75%,64%,93%,67%,85%,92%,91%,64%,91%,89%,64%,70%,62%,74%,93%,77%,86%,70%,68%,69%,83%
Field_C,12.21,21.01,50.66,52273,100%,48.56,11.09,36.89,60%,91%,88%,87%,65%,66%,69%,61%,97%,95%,62%,87%,94%,65%,61%,100%,64%,72%,68%,86%,97%,98%,94%
Field_B,10.01,32.23,39.72,39826,78%,12.84,6.99,31.15,66%,79%,75%,96%,63%,86%,94%,69%,66%,90%,75%,83%,71%,90%,82%,62%,89%,92%,75%,90%,78%,64%,61%
Field_E,39.19,28.48,46.99,84003,95%,27.42,15.84,32.69,96%,92%,69%,94%,66%,65%,69%,73%,75%,77%,72%,70%,83%,88%,74%,73%,66%,74%,80%,82%,81%,62%,80%
Field_B,12.79,34.15,58.51,55495,71%,32.1,7.48,12.78,69%,60%,62%,82%,70%,64%,67%,71%,77%,93%,94%,90%,67%,88%,76%,92%,71%,100%,63%,99%,70%,66%,71%
Field_E,12.09,24.24,46.6,38397,70%,22.02,11.98,27.59,61%,61%,83%,81%,98%,90%,80%,82%,75%,78%,79%,74%,73%,97%,86%,73%,67%,96%,92%,60%,73%,79%,82%
Field_A,30.94,27.87,57.4,93832,83%,14.35,13.69,16.89,99%,98%,94%,74%,77%,95%,92%,93%,65%,76%,80%,88%,74%,63%,95%,96%,63%,76%,72%,97%,96%,61%,83%
Field_C,12.36,21.25,67.91,32170,65%,39.08,14.1,27.72,61%,77%,71%,64%,90%,81%,70%,92%,73%,97%,80%,86%,87%,84%,96%,78%,89%,85%,64%,79%,97%,99%,92%
Field_E,20.12,23.51,30.44,22999,87%,37.31,12.78,27.31,73%,64%,95%,86%,70%,77%,84%,75%,99%,72%,91%,66%,84%,70%,66%,85%,75%,92%,77%,70%,99%,84%,89%
Field_C,39.97,30.76,64.14,91328,88%,14.08,21.75,36.02,100%,87%,70%,100%,68%,95%,80%,69%,72%,79%,99%,68%,63%,63%,65%,97%,68%,93%,82%,91%,63%,63%,73%
Field_D,13.98,28.38,39.45,44648,90%,49.89,24.78,34.76,94%,88%,64%,64%,80%,81%,60%,79%,92%,75%,95%,98%,85%,95%,77%,66%,93%,87%,99%,92%,83%,76%,77%
Field_A,18.82,28.84,59.22,17120,64%,11.36,8.28,26.88,67%,81%,76%,65%,95%,76%,83%,97%,87%,89%,99%,82%,100%,85%,68%,99%,74%,95%,60%,86%,70%,79%,69%
Field_E,29.55,23.3,33.32,72539,88%,42.34,11.4,13.88,70%,76%,61%,64%,99%,95%,80%,75%,95%,76%,75%,76%,60%,76%,63%,90%,78%,67%,70%,75%,93%,84%,77%
Field_C,37.54,31.91,37.97,25468,74%,44.54,15.54,34.48,88%,60%,66%,82%,60%,88%,77%,98%,88%,85%,78%,99%,74%,81%,78%,73%,83%,100%,62%,84%,83%,81%,64%
Field_E,10.91,26.82,64.75,51976,89%,11.22,18.04,27.1,73%,63%,89%,62%,66%,70%,90%,62%,67%,61%,80%,83%,89%,67%,97%,99%,70%,78%,73%,88%,90%,95%,69%
Field_B,34.67,33.96,61.92,53282,95%,27.22,14.67,37.79,85%,81%,73%,80%,83%,87%,99%,63%,60%,64%,70%,78%,77%,84%,98%,63%,87%,78%,86%,63%,70%,62%,73%
Field_D,12.4,34.92,30.42,12254,67%,21.08,17.88,29.09,76%,80%,72%,94%,87%,92%,68%,74%,63%,76%,86%,63%,90%,89%,88%,99%,61%,88%,99%,68%,66%,72%,71%
Field_D,29.5,32.59,30.05,35817,95%,10.99,15.38,23.56,69%,64%,95%,89%,75%,91%,79%,93%,96%,96%,75%,93%,70%,97%,95%,97%,97%,96%,80%,93%,91%,67%,97%
Field_B,27.14,20.3,47.59,76667,93%,13.22,23.47,19.71,85%,96%,82%,72%,71%,92%,97%,97%,79%,98%,80%,61%,73%,69%,84%,100%,84%,78%,80%,63%,68%,81%,66%
Field_D,35.22,29.59,63.42,31229,91%,14.37,23.58,26.37,71%,86%,78%,66%,84%,85%,76%,63%,99%,98%,94%,66%,87%,85%,85%,71%,85%,91%,90%,60%,75%,86%,62%
Field_D,29.48,34.02,32.11,70381,93%,29.37,12.75,36.0,86%,94%,61%,95%,81%,94%,85%,91%,76%,83%,79%,61%,80%,96%,95%,75%,63%,62%,68%,80%,94%,70%,79%
Field_C,18.06,28.46,39.7,53796,74%,21.53,6.48,15.51,87%,87%,91%,65%,94%,79%,96%,63%,61%,60%,97%,71%,72%,98%,73%,96%,73%,93%,77%,84%,86%,97%,73%
Field_D,26.72,28.71,64.17,15436,80%,16.44,10.74,38.55,89%,62%,71%,76%,81%,65%,71%,83%,72%,88%,96%,60%,63%,87%,96%,79%,62%,92%,64%,72%,88%,64%,69%
Field_E,26.4,31.49,59.72,87930,78%,40.72,15.68,27.67,72%,77%,64%,82%,74%,81%,77%,81%,62%,72%,84%,88%,87%,69%,87%,98%,76%,85%,97%,83%,89%,80%,78%
Field_E,11.78,20.95,48.27,57195,97%,12.9,11.09,29.68,70%,69%,89%,89%,89%,87%,71%,68%,64%,84%,95%,69%,69%,98%,64%,91%,92%,95%,75%,79%,83%,82%,89%
Field_D,29.69,25.24,36.05,22961,78%,39.94,14.32,22.18,87%,95%,82%,60%,92%,80%,74%,64%,84%,60%,86%,85%,78%,74%,69%,92%,67%,69%,61%,68%,72%,86%,81%
Field_B,12.4,28.56,59.5,70590,97%,26.08,14.5,29.19,74%,76%,62%,96%,68%,98%,99%,71%,68%,74%,74%,64%,93%,87%,82%,89%,68%,77%,71%,81%,95%,89%,88%
Field_B,26.38,26.48,62.69,24980,90%,26.87,17.16,35.27,89%,95%,82%,89%,93%,64%,95%,95%,80%,74%,99%,97%,93%,63%,95%,71%,94%,85%,86%,82%,87%,65%,99%
Field_C,38.04,26.66,68.4,38122,65%,26.17,11.67,17.27,83%,61%,73%,96%,81%,88%,66%,96%,65%,60%,65%,67%,100%,81%,71%,78%,64%,87%,73%,63%,62%,64%,63%
Field_A,25.56,26.95,65.52,72748,83%,33.2,8.58,13.05,81%,82%,63%,77%,65%,61%,96%,74%,94%,61%,82%,70%,75%,77%,69%,89%,60%,91%,66%,80%,80%,88%,81%
Field_C,32.36,30.04,32.69,81081,95%,24.58,7.78,11.66,82%,99%,71%,89%,67%,71%,95%,71%,65%,85%,67%,74%,99%,88%,70%,93%,100%,71%,66%,92%,92%,94%,63%
Field_D,14.4,32.21,41.11,66329,92%,36.77,21.62,21.06,62%,82%,82%,62%,77%,68%,71%,66%,68%,70%,99%,98%,69%,83%,90%,78%,82%,70%,70%,60%,78%,80%,89%
Field_E,24.09,24.44,54.66,29207,71%,33.71,18.86,33.6,94%,90%,77%,63%,67%,79%,76%,82%,96%,67%,75%,90%,100%,62%,81%,96%,95%,89%,73%,68%,99%,61%,94%
Field_C,38.63,21.02,64.6,30046,92%,43.88,5.45,21.62,60%,98%,74%,61%,75%,60%,74%,67%,78%,61%,88%,72%,82%,75%,73%,66%,74%,97%,90%,95%,92%,95%,80%
Field_A,29.8,26.96,64.56,67848,78%,26.26,21.44,16.13,71%,70%,76%,64%,86%,78%,99%,89%,99%,88%,78%,82%,94%,78%,97%,91%,89%,61%,60%,61%,92%,94%,65%
Field_D,25.46,23.38,69.4,81513,98%,45.35,9.6,22.1,66%,69%,67%,60%,71%,72%,60%,61%,88%,91%,96%,62%,68%,88%,63%,94%,62%,78%,69%,63%,64%,62%,81%
Field_D,12.79,32.53,44.34,33769,89%,14.35,18.97,35.67,84%,76%,90%,75%,86%,68%,84%,74%,76%,64%,63%,77%,63%,60%,91%,98%,83%,88%,94%,82%,83%,64%,94%
Field_A,11.56,32.85,32.08,14326,66%,34.24,10.94,14.19,87%,78%,73%,81%,79%,96%,66%,95%,91%,66%,82%,83%,90%,84%,60%,75%,85%,98%,60%,65%,82%,92%,77%
Field_A,32.07,26.04,53.61,23050,98%,11.39,18.39,34.07,83%,60%,62%,98%,75%,82%,73%,88%,84%,94%,85%,92%,62%,66%,99%,84%,81%,73%,97%,70%,100%,64%,91%
Field_D,30.89,27.2,57.5,22202,87%,14.49,15.87,32.6,88%,72%,86%,67%,63%,95%,65%,60%,62%,66%,64%,71%,66%,71%,100%,61%,94%,62%,89%,64%,80%,93%,89%
Field_E,39.86,29.39,60.15,42241,92%,24.36,20.41,26.1,86%,61%,65%,78%,72%,79%,85%,73%,76%,60%,65%,67%,74%,96%,80%,79%,67%,69%,66%,67%,96%,69%,84%
Field_B,17.75,25.66,52.46,99208,77%,24.65,7.03,33.13,74%,93%,79%,85%,68%,91%,89%,65%,87%,95%,65%,79%,62%,64%,88%,75%,70%,95%,75%,75%,76%,93%,89%
Field_A,31.87,21.48,69.07,92684,94%,41.43,24.64,16.54,97%,77%,89%,70%,84%,61%,85%,71%,76%,70%,73%,68%,93%,86%,68%,94%,65%,61%,97%,98%,89%,62%,83%
Field_E,23.73,34.32,44.04,83514,99%,44.76,15.04,15.88,98%,64%,79%,82%,70%,94%,76%,100%,63%,69%,96%,92%,80%,84%,82%,77%,62%,78%,62%,100%,85%,97%,95%
Field_E,20.57,22.1,49.66,50588,65%,19.02,20.6,13.43,95%,71%,69%,85%,75%,73%,73%,86%,66%,75%,74%,94%,80%,90%,66%,77%,89%,75%,75%,78%,68%,95%,68%
Field_E,25.89,20.36,39.35,15704,98%,23.14,10.33,25.8,79%,87%,84%,97%,73%,79%,71%,97%,89%,61%,89%,64%,63%,73%,86%,81%,63%,68%,95%,64%,100%,68%,81%
Field_D,10.72,31.68,60.08,39934,79%,29.41,16.23,12.58,91%,71%,100%,76%,92%,84%,81%,70%,73%,60%,60%,97%,90%,66%,82%,81%,100%,90%,90%,75%,66%,70%,67%
Field_A,13.62,32.47,40.08,31922,76%,47.2,7.96,25.79,95%,99%,80%,65%,71%,94%,62%,88%,96%,61%,74%,80%,81%,75%,65%,87%,77%,87%,78%,95%,76%,85%,94%
Field_C,14.11,25.5,41.59,63942,93%,21.31,21.72,11.57,92%,88%,88%,95%,62%,82%,72%,96%,68%,93%,63%,72%,70%,69%,82%,89%,67%,75%,81%,76%,90%,80%,97%
Field_D,36.22,33.37,33.55,47833,80%,40.74,6.97,35.58,86%,75%,79%,66%,64%,77%,75%,90%,74%,65%,83%,69%,80%,89%,81%,72%,91%,73%,80%,100%,73%,95%,94%
Field_C,22.91,21.4,33.73,64477,64%,17.16,14.1,38.42,67%,98%,94%,76%,61%,92%,100%,81%,76%,85%,100%,85%,78%,96%,64%,91%,77%,73%,79%,68%,75%,76%,66%
Field_D,30.67,28.6,68.54,23208,99%,12.85,24.99,33.67,96%,92%,62%,69%,83%,64%,68%,64%,92%,94%,61%,69%,100%,81%,83%,99%,65%,97%,97%,80%,95%,81%,72%
Field_E,30.63,24.56,59.68,34162,62%,23.33,9.94,22.53,69%,83%,75%,62%,86%,63%,97%,78%,84%,92%,65%,66%,77%,77%,64%,75%,64%,83%,94%,85%,93%,80%,90%
Field_A,17.82,25.01,46.35,58160,70%,42.88,10.15,32.57,98%,83%,77%,91%,98%,95%,88%,86%,85%,91%,97%,100%,66%,81%,88%,87%,71%,71%,72%,75%,60%,87%,80%
Field_C,23.45,30.15,69.32,48036,92%,23.63,13.6,15.7,63%,86%,85%,87%,83%,64%,63%,99%,72%,70%,98%,72%,68%,61%,62%,75%,100%,96%,95%,90%,74%,76%,88%
Field_B,19.45,24.22,68.39,37736,64%,44.39,13.61,33.4,83%,100%,90%,81%,77%,74%,94%,83%,85%,67%,77%,91%,67%,87%,95%,89%,89%,77%,60%,74%,95%,68%,91%
Field_A,31.3,27.74,39.47,77340,93%,42.29,5.77,23.4,74%,71%,100%,88%,63%,98%,67%,77%,90%,85%,84%,77%,94%,62%,79%,91%,99%,83%,63%,61%,74%,81%,78%
Field_B,19.04,24.01,41.09,52402,65%,43.71,8.81,39.05,84%,97%,86%,81%,91%,67%,90%,75%,67%,83%,71%,78%,78%,67%,65%,100%,69%,60%,86%,65%,92%,86%,64%
Field_A,21.36,29.27,31.97,64607,93%,27.59,11.69,38.82,85%,84%,94%,61%,84%,87%,89%,65%,84%,96%,89%,72%,98%,94%,88%,94%,80%,69%,88%,97%,79%,74%,78%
Field_E,23.12,31.34,48.31,30621,78%,22.79,7.4,21.82,66%,85%,100%,66%,97%,84%,80%,86%,69%,76%,84%,67%,62%,88%,79%,93%,93%,97%,80%,93%,83%,91%,83%
